val,type,col1
656712: Jankovská Lhota,KU,Jankovská Lhota [Benešov] (kód kú: 656712)
1528: NPP Jankovský potok,MZCHU,Jankovský potok [NPP] (kód ÚSOP: 1528)
CZ0613321: Jankovský potok,EVL,Jankovský potok (sitecode: CZ0613321)
656852: Janoslavice,KU,Janoslavice [Šumperk] (kód kú: 656852)
656861: Janoušov,KU,Janoušov [Šumperk] (kód kú: 656861)
657000: Janov nad Nisou,KU,Janov nad Nisou [Jablonec nad Nisou] (kód kú: 657000)
656879: Janov,KU,Janov [Rakovník] (kód kú: 656879)
743763: Janov u Hřenska,KU,Janov u Hřenska [Děčín] (kód kú: 743763)
670006: Janov u Kosovy Hory,KU,Janov u Kosovy Hory [Příbram] (kód kú: 670006)
656976: Janov u Krnova,KU,Janov u Krnova [Bruntál] (kód kú: 656976)
656950: Janov u Litomyšle,KU,Janov u Litomyšle [Svitavy] (kód kú: 656950)
637068: Janov u Litvínova,KU,Janov u Litvínova [Most] (kód kú: 637068)
656909: Janov u Mladé Vožice,KU,Janov u Mladé Vožice [Tábor] (kód kú: 656909)
750620: Janov u Nového Boru,KU,Janov u Nového Boru [Česká Lípa] (kód kú: 750620)
656925: Janov v Orlických horách,KU,Janov v Orlických horách [Rychnov nad Kněžnou] (kód kú: 656925)
667986: Janova Ves,KU,Janova Ves [Mělník] (kód kú: 667986)
657026: Janová,KU,Janová [Vsetín] (kód kú: 657026)
657131: Janovice nad Úhlavou,KU,Janovice nad Úhlavou [Klatovy] (kód kú: 657131)
698351: Janovice u Chrudimi,KU,Janovice u Chrudimi [Chrudim] (kód kú: 698351)
657107: Janovice u Frýdku-Místku,KU,Janovice u Frýdku-Místku [Frýdek-Místek] (kód kú: 657107)
646326: Janovice u Houserovky,KU,Janovice u Houserovky [Pelhřimov] (kód kú: 646326)
657034: Janovice u Kravař,KU,Janovice u Kravař [Česká Lípa] (kód kú: 657034)
657115: Janovice u Nového Jičína,KU,Janovice u Nového Jičína [Nový Jičín] (kód kú: 657115)
657069: Janovice u Polné,KU,Janovice u Polné [Jihlava] (kód kú: 657069)
744581: Janovice u Rýmařova,KU,Janovice u Rýmařova [Bruntál] (kód kú: 744581)
626546: Janovice u Sušice,KU,Janovice u Sušice [Klatovy] (kód kú: 626546)
657051: Janovice u Trutnova,KU,Janovice u Trutnova [Trutnov] (kód kú: 657051)
782157: Janovice u Vinar,KU,Janovice u Vinar [Hradec Králové] (kód kú: 782157)
657191: Janovice v Podještědí,KU,Janovice v Podještědí [Liberec] (kód kú: 657191)
773204: Janovická Lhota,KU,Janovická Lhota [Kutná Hora] (kód kú: 773204)
CZ0513240: Janovické rybníky,EVL,Janovické rybníky (sitecode: CZ0513240)
606413: Janovičky u Bohuňova,KU,Janovičky u Bohuňova [Žďár nad Sázavou] (kód kú: 606413)
638625: Janovičky u Broumova,KU,Janovičky u Broumova [Náchod] (kód kú: 638625)
790931: Janovičky u Zámrsku,KU,Janovičky u Zámrsku [Ústí nad Orlicí] (kód kú: 790931)
657204: Janská,KU,Janská [Děčín] (kód kú: 657204)
657239: Janské Lázně,KU,Janské Lázně [Trutnov] (kód kú: 657239)
740608: Janské Údolí,KU,Janské Údolí [Český Krumlov] (kód kú: 740608)
609854: Janské Údolí-Kovářov,KU,Janské Údolí-Kovářov [Český Krumlov] (kód kú: 609854)
2130: PP Jánský potok,MZCHU,Jánský potok [PP] (kód ÚSOP: 2130)
139: NPP Jánský vrch,MZCHU,Jánský vrch [NPP] (kód ÚSOP: 139)
744590: Janušov,KU,Janušov [Bruntál] (kód kú: 744590)
742457: Janův Důl,KU,Janův Důl [Liberec] (kód kú: 742457)
682241: Janův Důl u Liberce,KU,Janův Důl u Liberce [Liberec] (kód kú: 682241)
657255: Janůvky,KU,Janůvky [Svitavy] (kód kú: 657255)
657271: Jarcová,KU,Jarcová [Vsetín] (kód kú: 657271)
2041: PP Jarcovská kula,MZCHU,Jarcovská kula [PP] (kód ÚSOP: 2041)
783595: Jarkovice,KU,Jarkovice [Opava] (kód kú: 783595)
657310: Jarohněvice,KU,Jarohněvice [Kroměříž] (kód kú: 657310)
657336: Jaroměř,KU,Jaroměř [Náchod] (kód kú: 657336)
691119: Jaroměř u Malont,KU,Jaroměř u Malont [Český Krumlov] (kód kú: 691119)
657506: Jaroměřice nad Rokytnou,KU,Jaroměřice nad Rokytnou [Třebíč] (kód kú: 657506)
657484: Jaroměřice,KU,Jaroměřice [Svitavy] (kód kú: 657484)
633631: Jaronice,KU,Jaronice [České Budějovice] (kód kú: 633631)
705471: Jaronín,KU,Jaronín [Český Krumlov] (kód kú: 705471)
609862: Jaronín-Kuklov,KU,Jaronín-Kuklov [Český Krumlov] (kód kú: 609862)
578: PR Jaronínská bučina,MZCHU,Jaronínská bučina [PR] (kód ÚSOP: 578)
657522: Jaroslav,KU,Jaroslav [Pardubice] (kód kú: 657522)
670057: Jaroslavice u Kostelce,KU,Jaroslavice u Kostelce [České Budějovice] (kód kú: 670057)
635863: Jaroslavice u Zlína,KU,Jaroslavice u Zlína [Zlín] (kód kú: 635863)
657531: Jaroslavice,KU,Jaroslavice [Znojmo] (kód kú: 657531)
CZ0620416: Jaroslavické komory,EVL,Jaroslavické komory (sitecode: CZ0620416)
CZ0621031: Jaroslavické rybníky,PO,Jaroslavické rybníky (sitecode: CZ0621031)
5665: PP Jaroškov,MZCHU,Jaroškov [PP] (kód ÚSOP: 5665)
792543: Jaroškov,KU,Jaroškov [Prachatice] (kód kú: 792543)
CZ0312034: Jaroškov,EVL,Jaroškov (sitecode: CZ0312034)
657573: Jarošov nad Nežárkou,KU,Jarošov nad Nežárkou [Jindřichův Hradec] (kód kú: 657573)
657549: Jarošov u Litomyšle,KU,Jarošov u Litomyšle [Svitavy] (kód kú: 657549)
657565: Jarošov u Uherského Hradiště,KU,Jarošov u Uherského Hradiště [Uherské Hradiště] (kód kú: 657565)
756831: Jarotice,KU,Jarotice [Písek] (kód kú: 756831)
657620: Jarov,KU,Jarov [Plzeň-sever] (kód kú: 657620)
603091: Jarov u Berouna,KU,Jarov u Berouna [Beroun] (kód kú: 603091)
657603: Jarov u Blovic,KU,Jarov u Blovic [Plzeň-jih] (kód kú: 657603)
657646: Jarpice,KU,Jarpice [Kladno] (kód kú: 657646)
635316: Jasánky,KU,Jasánky [Český Krumlov] (kód kú: 635316)
1551: PP Jasánky,MZCHU,Jasánky [PP] (kód ÚSOP: 1551)
1519: PP Jasenice,MZCHU,Jasenice [PP] (kód ÚSOP: 1519)
657654: Jasenice,KU,Jasenice [Třebíč] (kód kú: 657654)
657662: Jasenice u Valašského Meziříčí,KU,Jasenice u Valašského Meziříčí [Vsetín] (kód kú: 657662)
786969: Jasenka,KU,Jasenka [Vsetín] (kód kú: 786969)
657689: Jasenná na Moravě,KU,Jasenná na Moravě [Zlín] (kód kú: 657689)
657671: Jasenná,KU,Jasenná [Náchod] (kód kú: 657671)
CZ0624066: Jasenová,EVL,Jasenová (sitecode: CZ0624066)
657697: Jasinov,KU,Jasinov [Blansko] (kód kú: 657697)
772283: Javor,KU,Javor [Klatovy] (kód kú: 772283)
766348: Javor u Teplic nad Metují,KU,Javor u Teplic nad Metují [Náchod] (kód kú: 766348)
657719: Javorek,KU,Javorek [Žďár nad Sázavou] (kód kú: 657719)
140: NPR Javorina,MZCHU,Javorina [NPR] (kód ÚSOP: 140)
5935: PP Javorka a Cidlina - Sběř,MZCHU,Javorka a Cidlina - Sběř [PP] (kód ÚSOP: 5935)
CZ0523273: Javorka a Cidlina - Sběř,EVL,Javorka a Cidlina - Sběř (sitecode: CZ0523273)
723088: Javorka,KU,Javorka [Chrudim] (kód kú: 723088)
657778: Javorná na Šumavě,KU,Javorná na Šumavě [Klatovy] (kód kú: 657778)
799122: Javorná u Polomu,KU,Javorná u Polomu [Klatovy] (kód kú: 799122)
657735: Javorná u Toužimi,KU,Javorná u Toužimi [Karlovy Vary] (kód kú: 657735)
657816: Javornice,KU,Javornice [Rychnov nad Kněžnou] (kód kú: 657816)
633224: Javornice u Dubu,KU,Javornice u Dubu [Prachatice] (kód kú: 633224)
681849: Javorníček,KU,Javorníček [Ústí nad Orlicí] (kód kú: 681849)
657905: Javorník nad Veličkou,KU,Javorník nad Veličkou [Hodonín] (kód kú: 657905)
733229: Javorník u Českého Dubu,KU,Javorník u Českého Dubu [Liberec] (kód kú: 733229)
626686: Javorník u Dlouhého Mostu,KU,Javorník u Dlouhého Mostu [Liberec] (kód kú: 626686)
657841: Javorník u Stach,KU,Javorník u Stach [Prachatice] (kód kú: 657841)
657867: Javorník u Svitav,KU,Javorník u Svitav [Svitavy] (kód kú: 657867)
657832: Javorník u Vlašimi,KU,Javorník u Vlašimi [Benešov] (kód kú: 657832)
657883: Javorník u Vysokého Mýta,KU,Javorník u Vysokého Mýta [Ústí nad Orlicí] (kód kú: 657883)
657875: Javorník v Krkonoších,KU,Javorník v Krkonoších [Trutnov] (kód kú: 657875)
657921: Javorník-město,KU,Javorník-město [Jeseník] (kód kú: 657921)
657956: Javorník-ves,KU,Javorník-ves [Jeseník] (kód kú: 657956)
696072: Javorovec,KU,Javorovec [Uherské Hradiště] (kód kú: 696072)
5326: NPP Javorový vrch,MZCHU,Javorový vrch [NPP] (kód ÚSOP: 5326)
CZ0813763: Javorový vrch,EVL,Javorový vrch (sitecode: CZ0813763)
1855: PP Javorův kopec,MZCHU,Javorův kopec [PP] (kód ÚSOP: 1855)
771: PR Javorůvky,MZCHU,Javorůvky [PR] (kód ÚSOP: 771)
691330: Javory,KU,Javory [Děčín] (kód kú: 691330)
697885: Javoří Pila,KU,Javoří Pila [Klatovy] (kód kú: 697885)
637319: Javoří u Hartmanic,KU,Javoří u Hartmanic [Klatovy] (kód kú: 637319)
690881: Javoří u Maletína,KU,Javoří u Maletína [Šumperk] (kód kú: 690881)
724220: Javoří u Podolí,KU,Javoří u Podolí [Klatovy] (kód kú: 724220)
688673: Javoříčko,KU,Javoříčko [Olomouc] (kód kú: 688673)
657972: Javůrek,KU,Javůrek [Brno-venkov] (kód kú: 657972)
CZ0213790: Javůrek,EVL,Javůrek (sitecode: CZ0213790)
1032: NPR Jazevčí,MZCHU,Jazevčí [NPR] (kód ÚSOP: 1032)
755109: Jazovice,KU,Jazovice [Znojmo] (kód kú: 755109)
745537: Jažlovice,KU,Jažlovice [Praha-východ] (kód kú: 745537)
709: PR Jechovec,MZCHU,Jechovec [PR] (kód ÚSOP: 709)
779474: Jeclov,KU,Jeclov [Jihlava] (kód kú: 779474)
5906: PP Ječmeniště,MZCHU,Ječmeniště [PP] (kód ÚSOP: 5906)
CZ0620162: Ječmeniště,EVL,Ječmeniště (sitecode: CZ0620162)
798835: Ječmeniště,KU,Ječmeniště [Znojmo] (kód kú: 798835)
723347: Ječovice,KU,Ječovice [Litoměřice] (kód kú: 723347)
658022: Jedlá,KU,Jedlá [Havlíčkův Brod] (kód kú: 658022)
658057: Jedlany,KU,Jedlany [Tábor] (kód kú: 658057)
658073: Jedlí,KU,Jedlí [Šumperk] (kód kú: 658073)
634638: Jedličná,KU,Jedličná [Cheb] (kód kú: 634638)
680052: Jedlina,KU,Jedlina [Tachov] (kód kú: 680052)
660990: Jedlová,KU,Jedlová [Děčín] (kód kú: 660990)
658081: Jedlová u Poličky,KU,Jedlová u Poličky [Svitavy] (kód kú: 658081)
754021: Jedlová u Staré Vody,KU,Jedlová u Staré Vody [Cheb] (kód kú: 754021)
625833: Jedlová v Orlických horách,KU,Jedlová v Orlických horách [Rychnov nad Kněžnou] (kód kú: 625833)
1564: PR Jedlový důl,MZCHU,Jedlový důl [PR] (kód ÚSOP: 1564)
1418: PR Jedlový les a údolí Rokytné,MZCHU,Jedlový les a údolí Rokytné [PR] (kód ÚSOP: 1418)
CZ0610179: Jedlový les a údolí Rokytné,EVL,Jedlový les a údolí Rokytné (sitecode: CZ0610179)
658103: Jedomělice,KU,Jedomělice [Kladno] (kód kú: 658103)
658111: Jedouchov,KU,Jedouchov [Havlíčkův Brod] (kód kú: 658111)
658120: Jedousov,KU,Jedousov [Pardubice] (kód kú: 658120)
658146: Jedov,KU,Jedov [Třebíč] (kód kú: 658146)
780880: Jedovary,KU,Jedovary [České Budějovice] (kód kú: 780880)
658154: Jedovnice,KU,Jedovnice [Blansko] (kód kú: 658154)
658197: Jehnědí,KU,Jehnědí [Ústí nad Orlicí] (kód kú: 658197)
654451: Jehnědno,KU,Jehnědno [Písek] (kód kú: 654451)
658201: Jehnice,KU,Jehnice [Brno-město] (kód kú: 658201)
756920: Jelcovy Lhotky,KU,Jelcovy Lhotky [Pelhřimov] (kód kú: 756920)
701688: Jelemek,KU,Jelemek [Prachatice] (kód kú: 701688)
658219: Jelence,KU,Jelence [Příbram] (kód kú: 658219)
1306: PR Jelení bučina,MZCHU,Jelení bučina [PR] (kód ÚSOP: 1306)
731: PR Jelení lázeň,MZCHU,Jelení lázeň [PR] (kód ÚSOP: 731)
629: PR Jelení skok,MZCHU,Jelení skok [PR] (kód ÚSOP: 629)
695173: Jelení u Bruntálu,KU,Jelení u Bruntálu [Bruntál] (kód kú: 695173)
640875: Jelení u Holčovic,KU,Jelení u Holčovic [Bruntál] (kód kú: 640875)
706159: Jelení u Nových Hamrů,KU,Jelení u Nových Hamrů [Karlovy Vary] (kód kú: 706159)
141: PR Jelení vrch,MZCHU,Jelení vrch [PR] (kód ÚSOP: 141)
1799: PP Jelení vrchy,MZCHU,Jelení vrchy [PP] (kód ÚSOP: 1799)
901: PR Jelení žlíbek,MZCHU,Jelení žlíbek [PR] (kód ÚSOP: 901)
781134: Jelenice,KU,Jelenice [Opava] (kód kú: 781134)
691429: Jelenice u Mělníka,KU,Jelenice u Mělníka [Mělník] (kód kú: 691429)
683027: Jelmo,KU,Jelmo [České Budějovice] (kód kú: 683027)
658227: Jemnice,KU,Jemnice [Třebíč] (kód kú: 658227)
658235: Jemnice u Moravce,KU,Jemnice u Moravce [Žďár nad Sázavou] (kód kú: 658235)
712892: Jemnice u Oseka,KU,Jemnice u Oseka [Strakonice] (kód kú: 712892)
767204: Jemnice u Tisové,KU,Jemnice u Tisové [Tachov] (kód kú: 767204)
658243: Jemníky,KU,Jemníky [Kladno] (kód kú: 658243)
696455: Jemníky u Mladé Boleslavi,KU,Jemníky u Mladé Boleslavi [Mladá Boleslav] (kód kú: 696455)
726231: Jemniště,KU,Jemniště [Benešov] (kód kú: 726231)
658251: Jenčice,KU,Jenčice [Litoměřice] (kód kú: 658251)
613011: Jeneč,KU,Jeneč [Blansko] (kód kú: 613011)
658260: Jeneč u Prahy,KU,Jeneč u Prahy [Praha-západ] (kód kú: 658260)
142: PP Jenerálka,MZCHU,Jenerálka [PP] (kód ÚSOP: 142)
658308: Jenichov,KU,Jenichov [Mělník] (kód kú: 658308)
658286: Jeníčkova Lhota,KU,Jeníčkova Lhota [Tábor] (kód kú: 658286)
658332: Jeníkov u Duchcova,KU,Jeníkov u Duchcova [Teplice] (kód kú: 658332)
658359: Jeníkov u Hlinska,KU,Jeníkov u Hlinska [Chrudim] (kód kú: 658359)
658316: Jeníkov u Vlašimi,KU,Jeníkov u Vlašimi [Benešov] (kód kú: 658316)
690643: Jeníkovec,KU,Jeníkovec [Havlíčkův Brod] (kód kú: 690643)
658375: Jeníkovice u Choltic,KU,Jeníkovice u Choltic [Pardubice] (kód kú: 658375)
770078: Jeníkovice u Horšovského Týna,KU,Jeníkovice u Horšovského Týna [Domažlice] (kód kú: 770078)
658367: Jeníkovice u Hradce Králové,KU,Jeníkovice u Hradce Králové [Hradec Králové] (kód kú: 658367)
628981: Jenín,KU,Jenín [Český Krumlov] (kód kú: 628981)
658391: Jenišov,KU,Jenišov [Karlovy Vary] (kód kú: 658391)
658448: Jenišovice u Chrudimi,KU,Jenišovice u Chrudimi [Chrudim] (kód kú: 658448)
658413: Jenišovice u Jablonce nad Nisou,KU,Jenišovice u Jablonce nad Nisou [Jablonec nad Nisou] (kód kú: 658413)
616486: Jenišovice u Mělníka,KU,Jenišovice u Mělníka [Mělník] (kód kú: 616486)
658472: Jenišův Újezd,KU,Jenišův Újezd [Teplice] (kód kú: 658472)
658499: Jenštejn,KU,Jenštejn [Praha-východ] (kód kú: 658499)
635456: Jerlochovice,KU,Jerlochovice [Nový Jičín] (kód kú: 635456)
621072: Jersice,KU,Jersice [Jindřichův Hradec] (kód kú: 621072)
658502: Jersín,KU,Jersín [Jihlava] (kód kú: 658502)
1961: PP Jersínská stráň,MZCHU,Jersínská stráň [PP] (kód ÚSOP: 1961)
776572: Jeřeň,KU,Jeřeň [Karlovy Vary] (kód kú: 776572)
658511: Jeřice,KU,Jeřice [Jičín] (kód kú: 658511)
658529: Jeřičky,KU,Jeřičky [Hradec Králové] (kód kú: 658529)
658553: Jeřišno,KU,Jeřišno [Havlíčkův Brod] (kód kú: 658553)
CZ0613698: Jeřišno-Heřmaň,EVL,Jeřišno-Heřmaň (sitecode: CZ0613698)
608726: Jeřmaň,KU,Jeřmaň [Olomouc] (kód kú: 608726)
658588: Jeřmanice,KU,Jeřmanice [Liberec] (kód kú: 658588)
658596: Jesenec,KU,Jesenec [Prostějov] (kód kú: 658596)
618241: Jesení,KU,Jesení [Klatovy] (kód kú: 618241)
1293: PP Jesení,MZCHU,Jesení [PP] (kód ÚSOP: 1293)
709522: Jesenice u Chebu,KU,Jesenice u Chebu [Cheb] (kód kú: 709522)
658618: Jesenice u Prahy,KU,Jesenice u Prahy [Praha-západ] (kód kú: 658618)
658693: Jesenice u Rakovníka,KU,Jesenice u Rakovníka [Rakovník] (kód kú: 658693)
658651: Jesenice u Sedlčan,KU,Jesenice u Sedlčan [Příbram] (kód kú: 658651)
658723: Jeseník,KU,Jeseník [Jeseník] (kód kú: 658723)
658952: Jeseník nad Odrou,KU,Jeseník nad Odrou [Nový Jičín] (kód kú: 658952)
83: CHKO Jeseníky,VZCHU,Jeseníky [CHKO] (kód ÚSOP: 83)
CZ0711017: Jeseníky,PO,Jeseníky (sitecode: CZ0711017)
658979: Jesenný,KU,Jesenný [Semily] (kód kú: 658979)
606804: Jesínky,KU,Jesínky [Karlovy Vary] (kód kú: 606804)
CZ0533687: Jeskyně Bětník,EVL,Jeskyně Bětník (sitecode: CZ0533687)
CZ0323638: Jeskyně Inků,EVL,Jeskyně Inků (sitecode: CZ0323638)
649: NPP Jeskyně Na Pomezí,MZCHU,Jeskyně Na Pomezí [NPP] (kód ÚSOP: 649)
143: NPP Jeskyně Pekárna,MZCHU,Jeskyně Pekárna [NPP] (kód ÚSOP: 143)
2010: PP Jeskyně pod Sněžníkem,MZCHU,Jeskyně pod Sněžníkem [PP] (kód ÚSOP: 2010)
CZ0513666: Jeskyně Sklepy pod Troskami,EVL,Jeskyně Sklepy pod Troskami (sitecode: CZ0513666)
CZ0533688: Jeskyně u Horního Újezda,EVL,Jeskyně u Horního Újezda (sitecode: CZ0533688)
2194: PP Jesličky,MZCHU,Jesličky [PP] (kód ÚSOP: 2194)
659011: Jestřabí Lhota,KU,Jestřabí Lhota [Kolín] (kód kú: 659011)
658987: Jestřabí nad Vláří,KU,Jestřabí nad Vláří [Zlín] (kód kú: 658987)
659002: Jestřabí u Fulneku,KU,Jestřabí u Fulneku [Nový Jičín] (kód kú: 659002)
660302: Jestřabí u Velké Bíteše,KU,Jestřabí u Velké Bíteše [Žďár nad Sázavou] (kód kú: 660302)
659029: Jestřabí v Krkonoších,KU,Jestřabí v Krkonoších [Semily] (kód kú: 659029)
659053: Jestřabice,KU,Jestřabice [Kroměříž] (kód kú: 659053)
738891: Jestřebí,KU,Jestřebí [Blansko] (kód kú: 738891)
659088: Jestřebí nad Metují,KU,Jestřebí nad Metují [Náchod] (kód kú: 659088)
612961: Jestřebí u Brtnice,KU,Jestřebí u Brtnice [Jihlava] (kód kú: 612961)
659061: Jestřebí u České Lípy,KU,Jestřebí u České Lípy [Česká Lípa] (kód kú: 659061)
659118: Jestřebí u Zábřeha,KU,Jestřebí u Zábřeha [Šumperk] (kód kú: 659118)
791407: Jestřebice,KU,Jestřebice [Písek] (kód kú: 791407)
627721: Jestřebice u Kokořína,KU,Jestřebice u Kokořína [Mělník] (kód kú: 627721)
659126: Jestřebíčko,KU,Jestřebíčko [Šumperk] (kód kú: 659126)
5704: NPP Jestřebské slatiny,MZCHU,Jestřebské slatiny [NPP] (kód ÚSOP: 5704)
CZ0514042: Jestřebsko - Dokesko,EVL,Jestřebsko - Dokesko (sitecode: CZ0514042)
659134: Ješetice,KU,Ješetice [Benešov] (kód kú: 659134)
659169: Ješín,KU,Ješín [Kladno] (kód kú: 659169)
750000: Ješov,KU,Ješov [Olomouc] (kód kú: 750000)
681911: Ješovice,KU,Ješovice [Mělník] (kód kú: 681911)
838: PP Ještěnice,MZCHU,Ještěnice [PP] (kód ÚSOP: 838)
752410: Ještětice,KU,Ještětice [Rychnov nad Kněžnou] (kód kú: 752410)
779521: Jetenovice,KU,Jetenovice [Klatovy] (kód kú: 779521)
659185: Jetětice,KU,Jetětice [Písek] (kód kú: 659185)
774111: Jetišov,KU,Jetišov [Strakonice] (kód kú: 774111)
693871: Jetonice,KU,Jetonice [Chrudim] (kód kú: 693871)
659193: Jetřichov,KU,Jetřichov [Náchod] (kód kú: 659193)
659207: Jetřichovec,KU,Jetřichovec [Pelhřimov] (kód kú: 659207)
659215: Jetřichovice,KU,Jetřichovice [Příbram] (kód kú: 659215)
659258: Jetřichovice u Děčína,KU,Jetřichovice u Děčína [Děčín] (kód kú: 659258)
659312: Jevany,KU,Jevany [Praha-východ] (kód kú: 659312)
659321: Jevíčko-město,KU,Jevíčko-město [Svitavy] (kód kú: 659321)
659339: Jevíčko-předměstí,KU,Jevíčko-předměstí [Svitavy] (kód kú: 659339)
659347: Jeviněves,KU,Jeviněves [Mělník] (kód kú: 659347)
659355: Jevišovice,KU,Jevišovice [Znojmo] (kód kú: 659355)
659363: Jevišovka,KU,Jevišovka [Břeclav] (kód kú: 659363)
CZ0623041: Jevišovka,EVL,Jevišovka (sitecode: CZ0623041)
657441: Jezbiny,KU,Jezbiny [Náchod] (kód kú: 657441)
659371: Jezbořice,KU,Jezbořice [Pardubice] (kód kú: 659371)
659380: Jezdkovice,KU,Jezdkovice [Opava] (kód kú: 659380)
659398: Jezdovice,KU,Jezdovice [Jihlava] (kód kú: 659398)
832: PP Jezdovické rašeliniště,MZCHU,Jezdovické rašeliniště [PP] (kód ÚSOP: 832)
5833: PP Jezera,MZCHU,Jezera [PP] (kód ÚSOP: 5833)
CZ0213791: Jezera,EVL,Jezera (sitecode: CZ0213791)
765341: Jezerce,KU,Jezerce [Tachov] (kód kú: 765341)
144: NPR Jezerka,MZCHU,Jezerka [NPR] (kód ÚSOP: 144)
659401: Jezernice,KU,Jezernice [Přerov] (kód kú: 659401)
608106: Jezero,KU,Jezero [Benešov] (kód kú: 608106)
2119: PP Jezero,MZCHU,Jezero [PP] (kód ÚSOP: 2119)
2249: PR Jezero,MZCHU,Jezero [PR] (kód ÚSOP: 2249)
CZ0620078: Jezero,EVL,Jezero (sitecode: CZ0620078)
CZ0410018: Jezerský vrch,EVL,Jezerský vrch (sitecode: CZ0410018)
659428: Jezeřany,KU,Jezeřany [Znojmo] (kód kú: 659428)
600105: Jezeří,KU,Jezeří [Most] (kód kú: 600105)
146: NPR Jezevčí vrch,MZCHU,Jezevčí vrch [NPR] (kód ÚSOP: 146)
CZ0510509: Jezevčí vrch,EVL,Jezevčí vrch (sitecode: CZ0510509)
1823: PR Jezírka,MZCHU,Jezírka [PR] (kód ÚSOP: 1823)
457: PR Jezírka u Rozvadova,MZCHU,Jezírka u Rozvadova [PR] (kód ÚSOP: 457)
147: PP Jezírko Kutnar,MZCHU,Jezírko Kutnar [PP] (kód ÚSOP: 147)
1928: PP Jezírko pod Táborem,MZCHU,Jezírko pod Táborem [PP] (kód ÚSOP: 1928)
5661: PP Jezírko u Dobříše,MZCHU,Jezírko u Dobříše [PP] (kód ÚSOP: 5661)
659452: Jeznice,KU,Jeznice [České Budějovice] (kód kú: 659452)
757306: Jezvé,KU,Jezvé [Česká Lípa] (kód kú: 757306)
148: PR Jezvinec,MZCHU,Jezvinec [PR] (kód ÚSOP: 148)
659461: Ježená,KU,Ježená [Jihlava] (kód kú: 659461)
659487: Ježkovice na Moravě,KU,Ježkovice na Moravě [Vyškov] (kód kú: 659487)
659479: Ježkovice,KU,Ježkovice [Rychnov nad Kněžnou] (kód kú: 659479)
659509: Ježov,KU,Ježov [Hodonín] (kód kú: 659509)
659495: Ježov nad Želivkou,KU,Ježov nad Želivkou [Pelhřimov] (kód kú: 659495)
5316: PR Ježová,MZCHU,Ježová [PR] (kód ÚSOP: 5316)
716901: Ježovice,KU,Ježovice [Kutná Hora] (kód kú: 716901)
1950: PP Ježovský lom,MZCHU,Ježovský lom [PP] (kód ÚSOP: 1950)
659525: Ježovy,KU,Ježovy [Klatovy] (kód kú: 659525)
149: PP Ježůvka,MZCHU,Ježůvka [PP] (kód ÚSOP: 149)
676900: Jickovice,KU,Jickovice [Písek] (kód kú: 676900)
659541: Jičín,KU,Jičín [Jičín] (kód kú: 659541)
659622: Jičina,KU,Jičina [Nový Jičín] (kód kú: 659622)
CZ0523675: Jičíněves - zámek,EVL,Jičíněves - zámek (sitecode: CZ0523675)
659649: Jičíněves,KU,Jičíněves [Jičín] (kód kú: 659649)
659673: Jihlava,KU,Jihlava [Jihlava] (kód kú: 659673)
659924: Jihlávka,KU,Jihlávka [Jihlava] (kód kú: 659924)
659932: Jíkev,KU,Jíkev [Nymburk] (kód kú: 659932)
659941: Jilem,KU,Jilem [Jindřichův Hradec] (kód kú: 659941)
746843: Jilem u Sedletína,KU,Jilem u Sedletína [Havlíčkův Brod] (kód kú: 746843)
659959: Jilemnice,KU,Jilemnice [Semily] (kód kú: 659959)
660019: Jilemník,KU,Jilemník [Havlíčkův Brod] (kód kú: 660019)
CZ0813449: Jilešovice - Děhylov,EVL,Jilešovice - Děhylov (sitecode: CZ0813449)
660035: Jilešovice,KU,Jilešovice [Opava] (kód kú: 660035)
5792: PP Jilešovice-Děhylov,MZCHU,Jilešovice-Děhylov [PP] (kód ÚSOP: 5792)
641821: Jilmová,KU,Jilmová [Chomutov] (kód kú: 641821)
934: PP Jilmová skála,MZCHU,Jilmová skála [PP] (kód ÚSOP: 934)
719340: Jilmoví,KU,Jilmoví [Brno-venkov] (kód kú: 719340)
CZ0423653: Jílové u Děčína - škola,EVL,Jílové u Děčína - škola (sitecode: CZ0423653)
660043: Jílové u Děčína,KU,Jílové u Děčína [Děčín] (kód kú: 660043)
660060: Jílové u Držkova,KU,Jílové u Držkova [Jablonec nad Nisou] (kód kú: 660060)
603414: Jílové u Hodkovic nad Mohelkou,KU,Jílové u Hodkovic nad Mohelkou [Liberec] (kód kú: 603414)
660094: Jílové u Prahy,KU,Jílové u Prahy [Praha-západ] (kód kú: 660094)
660132: Jílovec,KU,Jílovec [Nový Jičín] (kód kú: 660132)
660167: Jílovice u Českého Meziříčí,KU,Jílovice u Českého Meziříčí [Hradec Králové] (kód kú: 660167)
660141: Jílovice u Trhových Svinů,KU,Jílovice u Trhových Svinů [České Budějovice] (kód kú: 660141)
660175: Jíloviště,KU,Jíloviště [Praha-západ] (kód kú: 660175)
5637: PR Jílovka,MZCHU,Jílovka [PR] (kód ÚSOP: 5637)
1643: PP Jílovské tisy,MZCHU,Jílovské tisy [PP] (kód ÚSOP: 1643)
608947: Jimlíkov,KU,Jimlíkov [Karlovy Vary] (kód kú: 608947)
660191: Jimlín,KU,Jimlín [Louny] (kód kú: 660191)
660230: Jimramov,KU,Jimramov [Žďár nad Sázavou] (kód kú: 660230)
