val,type,col1
CZ0610175: Baba a Belfrídský potok,EVL,Baba a Belfrídský potok (sitecode: CZ0610175)
1386: PP Baba,MZCHU,Baba [PP] (kód ÚSOP: 1386)
754: PP Baba,MZCHU,Baba [PP] (kód ÚSOP: 754)
777358: Babákov,KU,Babákov [Chrudim] (kód kú: 777358)
630551: Babčice,KU,Babčice [Tábor] (kód kú: 630551)
765384: Babětín,KU,Babětín [Děčín] (kód kú: 765384)
1898: PR Babí doly,MZCHU,Babí doly [PR] (kód ÚSOP: 1898)
1919: PP Babí hora,MZCHU,Babí hora [PP] (kód ÚSOP: 1919)
CZ0720013: Babí hora,EVL,Babí hora (sitecode: CZ0720013)
189: PR Babí lom,MZCHU,Babí lom [PR] (kód ÚSOP: 189)
600598: Babí,KU,Babí [Trutnov] (kód kú: 600598)
701297: Babí u Náchoda,KU,Babí u Náchoda [Náchod] (kód kú: 701297)
600695: Babice nad Svitavou,KU,Babice nad Svitavou [Brno-venkov] (kód kú: 600695)
600601: Babice,KU,Babice [Praha-východ] (kód kú: 600601)
641375: Babice u Holubče,KU,Babice u Holubče [Domažlice] (kód kú: 641375)
600687: Babice u Kelče,KU,Babice u Kelče [Vsetín] (kód kú: 600687)
600636: Babice u Lesonic,KU,Babice u Lesonic [Třebíč] (kód kú: 600636)
655244: Babice u Netolic,KU,Babice u Netolic [Prachatice] (kód kú: 655244)
709620: Babice u Okrouhlice,KU,Babice u Okrouhlice [Havlíčkův Brod] (kód kú: 709620)
726630: Babice u Poutnova,KU,Babice u Poutnova [Cheb] (kód kú: 726630)
600709: Babice u Rosic,KU,Babice u Rosic [Brno-venkov] (kód kú: 600709)
744930: Babice u Řehenic,KU,Babice u Řehenic [Benešov] (kód kú: 744930)
600661: Babice u Šternberka,KU,Babice u Šternberka [Olomouc] (kód kú: 600661)
600652: Babice u Uherského Hradiště,KU,Babice u Uherského Hradiště [Uherské Hradiště] (kód kú: 600652)
CZ0520028: Babiččino údolí - Rýzmburk,EVL,Babiččino údolí - Rýzmburk (sitecode: CZ0520028)
2404: NPP Babiččino údolí,MZCHU,Babiččino údolí [NPP] (kód ÚSOP: 2404)
765821: Babín,KU,Babín [Pelhřimov] (kód kú: 765821)
641871: Babín u Horažďovic,KU,Babín u Horažďovic [Klatovy] (kód kú: 641871)
721506: Babina,KU,Babina [Plzeň-sever] (kód kú: 721506)
1662: PP Babinské louky,MZCHU,Babinské louky [PP] (kód ÚSOP: 1662)
CZ0424034: Babinské louky,EVL,Babinské louky (sitecode: CZ0424034)
CZ0613318: Babínský rybník,EVL,Babínský rybník (sitecode: CZ0613318)
641715: Babiny I,KU,Babiny I [Ústí nad Labem] (kód kú: 641715)
641693: Babiny II,KU,Babiny II [Ústí nad Labem] (kód kú: 641693)
651575: Babolky,KU,Babolky [Blansko] (kód kú: 651575)
1920: PP Babolský háj,MZCHU,Babolský háj [PP] (kód ÚSOP: 1920)
600717: Babylon,KU,Babylon [Domažlice] (kód kú: 600717)
981: PP Bachmač,MZCHU,Bachmač [PP] (kód ÚSOP: 981)
600725: Bácovice,KU,Bácovice [Pelhřimov] (kód kú: 600725)
694991: Bačalky,KU,Bačalky [Jičín] (kód kú: 694991)
600741: Bačetín,KU,Bačetín [Rychnov nad Kněžnou] (kód kú: 600741)
600768: Bačice,KU,Bačice [Třebíč] (kód kú: 600768)
600784: Bačkov,KU,Bačkov [Havlíčkův Brod] (kód kú: 600784)
600814: Bačkovice,KU,Bačkovice [Třebíč] (kód kú: 600814)
600822: Bačov,KU,Bačov [Blansko] (kód kú: 600822)
1010: PP Bačov,MZCHU,Bačov [PP] (kód ÚSOP: 1010)
748625: Bahna,KU,Bahna [Blansko] (kód kú: 748625)
1628: PP Bahna,MZCHU,Bahna [PP] (kód ÚSOP: 1628)
620254: Bahno,KU,Bahno [Kutná Hora] (kód kú: 620254)
784: PP Bahulské jamy,MZCHU,Bahulské jamy [PP] (kód ÚSOP: 784)
603198: Bakov,KU,Bakov [Kladno] (kód kú: 603198)
600831: Bakov nad Jizerou,KU,Bakov nad Jizerou [Mladá Boleslav] (kód kú: 600831)
1930: PR Balcarova skála - Vintoky,MZCHU,Balcarova skála - Vintoky [PR] (kód ÚSOP: 1930)
600849: Baliny,KU,Baliny [Žďár nad Sázavou] (kód kú: 600849)
737925: Balkova Lhota,KU,Balkova Lhota [Tábor] (kód kú: 737925)
767069: Balková,KU,Balková [Plzeň-sever] (kód kú: 767069)
628336: Balkovy,KU,Balkovy [Klatovy] (kód kú: 628336)
600857: Banín,KU,Banín [Svitavy] (kód kú: 600857)
600865: Bánov,KU,Bánov [Uherské Hradiště] (kód kú: 600865)
600873: Báňovice,KU,Báňovice [Jindřichův Hradec] (kód kú: 600873)
600881: Bantice,KU,Bantice [Znojmo] (kód kú: 600881)
2405: PP Baračka,MZCHU,Baračka [PP] (kód ÚSOP: 2405)
1693: PP Barborka,MZCHU,Barborka [PP] (kód ÚSOP: 1693)
600890: Barchov,KU,Barchov [Hradec Králové] (kód kú: 600890)
600903: Barchov u Pardubic,KU,Barchov u Pardubic [Pardubice] (kód kú: 600903)
600911: Barchovice,KU,Barchovice [Kolín] (kód kú: 600911)
